,,jona31:LASI,,,jona31:RASI,,,jona31:LPSI,,,jona31:RPSI,,,jona31:LTHI,,,jona31:LKNE,,,jona31:LTIB,,,jona31:LANK,,,jona31:LHEE,,,jona31:LTOE,,,jona31:RTHI,,,jona31:RKNE,,,jona31:RTIB,,,jona31:RANK,,,jona31:RHEE,,,jona31:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
44,0,-129.389282,-1026.516846,852.353333,43.643547,-1148.762817,865.698975,-251.008987,-1219.551025,952.306213,-127.821846,-1319.615234,954.635376,-278.274414,-1117.422363,657.521423,-342.098328,-1230.820923,487.084076,-418.088593,-1344.950073,318.381226,-441.000061,-1392.523071,174.298386,-412.069550,-1448.988647,175.484879,-419.658997,-1229.759521,45.943108,60.082451,-1257.815918,641.826477,25.955374,-1230.947632,463.428925,-4.011092,-1267.850830,272.203186,-45.049969,-1289.601318,102.967316,,,,-41.127422,-1078.678589,62.050854
45,0,-129.636337,-1026.705444,852.194580,43.889984,-1148.327393,865.356079,-250.639053,-1220.005981,952.031616,-127.131256,-1319.676758,954.292053,-278.439117,-1117.580200,657.356384,-342.422058,-1230.833130,486.712097,-418.324097,-1345.248535,318.086243,-441.273956,-1392.809570,174.026703,-412.318634,-1449.242676,175.106781,-419.674469,-1229.907593,46.037560,60.458576,-1257.399658,641.426941,26.216675,-1230.787354,462.987030,-3.971089,-1267.971436,271.891907,-45.139858,-1289.723022,102.680008,,,,-41.141136,-1078.730469,62.093239
46,0,-129.884537,-1026.878540,852.038025,44.167625,-1147.809692,864.990479,-250.223816,-1220.473389,951.694458,-126.369415,-1319.712158,953.895874,-278.575592,-1117.625488,657.145691,-342.723389,-1230.704224,486.273376,-418.564636,-1345.476685,317.734039,-441.580505,-1393.109497,173.718597,-412.598206,-1449.521606,174.679260,-419.687408,-1230.059326,46.154930,60.892910,-1256.894043,640.983032,26.525198,-1230.570313,462.489746,-3.909855,-1268.081909,271.542419,-45.223919,-1289.857910,102.361122,,,,-41.156006,-1078.790771,62.142036
47,0,-130.135818,-1027.034180,851.889221,44.476048,-1147.203491,864.604980,-249.759949,-1220.956787,951.291992,-125.530777,-1319.720703,953.446045,-278.681122,-1117.542603,656.889648,-342.995636,-1230.404419,485.761536,-418.806458,-1345.616943,317.326416,-441.919464,-1393.415649,173.380890,-412.909973,-1449.820190,174.211746,-419.698730,-1230.211914,46.297337,61.389980,-1256.286255,640.496582,26.885565,-1230.282715,461.939178,-3.822040,-1268.171387,271.156677,-45.299053,-1290.002197,102.015846,,,,-41.171764,-1078.860474,62.197815
48,0,-130.392288,-1027.170288,851.754761,44.814346,-1146.502319,864.202759,-249.244522,-1221.459106,950.821716,-124.610428,-1319.701782,952.942444,-278.752991,-1117.315674,656.589539,-343.231873,-1229.900635,485.170105,-419.044983,-1345.649658,316.867462,-442.289612,-1393.718872,173.023361,-413.255341,-1450.130249,173.718399,-419.709747,-1230.363525,46.465157,61.953682,-1255.565063,639.969971,27.301771,-1229.911255,461.338287,-3.702369,-1268.228760,270.736938,-45.362358,-1290.152222,101.649933,,,,-41.188255,-1078.940063,62.261005
49,0,-130.656265,-1027.285767,851.642029,45.181126,-1145.701050,863.787292,-248.675262,-1221.984131,950.281555,-123.604317,-1319.654907,952.385193,-278.788605,-1116.927612,656.247681,-343.424774,-1229.157104,484.492889,-419.274231,-1345.552856,316.363556,-442.688293,-1394.006226,172.659103,-413.634399,-1450.439819,173.218552,-419.722473,-1230.512573,46.656242,62.587135,-1254.718994,639.406006,27.776993,-1229.443848,460.690613,-3.545867,-1268.242920,270.286102,-45.411266,-1290.303345,101.269478,,,,-41.205387,-1079.029907,62.331848
50,0,-130.930237,-1027.379028,851.558716,45.574474,-1144.795532,863.362244,-248.050552,-1222.535278,949.669739,-122.509323,-1319.580444,951.774902,-278.785522,-1116.362549,655.867065,-343.566650,-1228.135864,483.724426,-419.487183,-1345.302124,315.823334,-443.110809,-1394.262695,172.304520,-414.045380,-1450.733398,172.736679,-419.739410,-1230.658325,46.865173,63.292572,-1253.739258,638.808228,28.313414,-1228.869263,460.000427,-3.348081,-1268.203247,269.807587,-45.443665,-1290.451904,100.880699,,,,-41.223179,-1079.130005,62.410263
51,0,-131.216766,-1027.448975,851.513184,45.991993,-1143.782227,862.931580,-247.369507,-1223.115723,948.984741,-121.323425,-1319.478027,951.112488,-278.741638,-1115.604248,655.452271,-343.649445,-1226.797241,482.860046,-419.674835,-1344.871460,315.258118,-443.550323,-1394.469604,171.979416,-414.484009,-1450.991821,172.302322,-419.763611,-1230.799805,47.082661,64.071175,-1252.617432,638.180298,28.912096,-1228.178345,459.272430,-3.105291,-1268.099731,269.304840,-45.457993,-1290.593140,100.489716,,,,-41.241722,-1079.240112,62.495781
52,0,-131.518387,-1027.494507,851.514282,46.430817,-1142.659058,862.499268,-246.632126,-1223.728760,948.225586,-120.045853,-1319.348755,950.399475,-278.654785,-1114.636963,655.008667,-343.664581,-1225.101318,481.896881,-419.826599,-1344.232666,314.681427,-443.996918,-1394.606567,171.706573,-414.942596,-1451.191650,171.949631,-419.798187,-1230.936279,47.295197,64.923035,-1251.348145,637.526184,29.572861,-1227.363647,458.511749,-2.814705,-1267.923828,268.781799,-45.453289,-1290.723389,100.102348,,,,-41.261166,-1079.358398,62.587479
53,0,-131.837692,-1027.514893,851.570923,46.887642,-1141.425171,862.069458,-245.839157,-1224.377197,947.391541,-118.677124,-1319.193115,949.637329,-278.523193,-1113.446411,654.543091,-343.603149,-1223.009399,480.833801,-419.929657,-1343.357300,314.109222,-444.437714,-1394.649658,171.511642,-415.409393,-1451.306274,171.716629,-419.846161,-1231.067017,47.485115,65.847038,-1249.927002,636.850220,30.294226,-1226.420410,457.723572,-2.474615,-1267.667969,268.242462,-45.429222,-1290.839233,99.723976,,,,-41.281750,-1079.483643,62.683956
54,0,-132.177002,-1027.509277,851.692078,47.358822,-1140.080200,861.646118,-244.992416,-1225.063232,946.482605,-117.219131,-1319.011963,948.828186,-278.345215,-1112.018433,654.063416,-343.455719,-1220.483643,479.672272,-419.969177,-1342.215576,313.559479,-444.856354,-1394.573120,171.422562,-415.868256,-1451.305054,171.644363,-419.909943,-1231.189941,47.631054,66.840828,-1248.353149,636.156799,31.073372,-1225.345459,456.913361,-2.084520,-1267.326660,267.690674,-45.386070,-1290.936890,99.359344,,,,-41.303711,-1079.612915,62.783344
55,0,-132.538406,-1027.477539,851.886902,47.840389,-1138.625732,861.233093,-244.094467,-1225.788208,945.498962,-115.675140,-1318.806030,947.974121,-278.119293,-1110.341553,653.578308,-343.212738,-1217.490356,478.416626,-419.928192,-1340.777832,313.051666,-445.232971,-1394.348999,171.468826,-416.298157,-1451.155029,171.775452,-419.990906,-1231.301270,47.709049,67.900795,-1246.626953,635.450134,31.906172,-1224.139282,456.086426,-1.645192,-1266.896118,267.130524,-45.324665,-1291.014404,99.012505,,,,-41.327324,-1079.743774,62.883408
56,0,-132.923782,-1027.418701,852.164124,48.328190,-1137.063965,860.834412,-243.148819,-1226.553345,944.441467,-114.049858,-1318.576294,947.078003,-277.844116,-1108.405273,653.098022,-342.864227,-1213.998779,477.074310,-419.787689,-1339.015625,312.606903,-445.544128,-1393.948608,171.680832,-416.673035,-1450.821289,172.152863,-420.088654,-1231.395264,47.694080,69.022041,-1244.752197,634.734619,32.787251,-1222.804565,455.247986,-1.158697,-1266.374634,266.565887,-45.246311,-1291.069458,98.686760,,,,-41.352829,-1079.872437,62.981598
57,0,-133.334473,-1027.332764,852.532043,48.817932,-1135.398560,860.453308,-242.159821,-1227.358276,943.311584,-112.349266,-1318.323364,946.142395,-277.518494,-1106.201050,652.633606,-342.400208,-1209.984131,475.656403,-419.526855,-1336.901245,312.246735,-445.763062,-1393.341553,172.088837,-416.962006,-1450.266602,172.818085,-420.200562,-1231.462036,47.562229,70.198540,-1242.734253,634.014648,33.710117,-1221.346313,454.403137,-0.628362,-1265.762085,266.000610,-45.152695,-1291.101074,98.384628,,,,-41.380466,-1079.995850,63.075268
58,0,-133.771439,-1027.219482,852.998230,49.305305,-1133.633423,860.093201,-241.132523,-1228.201782,942.111267,-110.580635,-1318.047852,945.170349,-277.141357,-1103.723389,652.197266,-341.810669,-1205.427124,474.177399,-419.123383,-1334.409546,311.993286,-445.860107,-1392.497559,172.721909,-417.129700,-1449.454224,173.809402,-420.321228,-1231.488159,47.293182,71.423088,-1240.581421,633.294312,34.667278,-1219.772339,453.556580,-0.058691,-1265.061401,265.438263,-45.045753,-1291.108521,98.107811,,,,-41.410389,-1080.110840,63.161797
59,0,-134.235031,-1027.078491,853.569763,49.786057,-1131.773682,859.756836,-240.072678,-1229.081665,940.843323,-108.752373,-1317.749878,944.165222,-276.711914,-1100.968994,651.801819,-341.086060,-1200.314941,472.655426,-418.553955,-1331.518188,311.867981,-445.803192,-1391.386230,173.606873,-417.136932,-1448.346924,175.160233,-420.441833,-1231.454834,46.872952,72.687515,-1238.303467,632.577393,35.650467,-1218.092773,452.712646,0.544770,-1264.276367,264.882294,-44.927574,-1291.091797,97.857315,-106.105408,-1334.657227,85.607735,-41.442715,-1080.213989,63.238808
60,0,-134.725082,-1026.909546,854.252319,50.256119,-1129.825439,859.446716,-238.986511,-1229.994263,939.511353,-106.873833,-1317.429199,943.130432,-276.229309,-1097.936890,651.461121,-340.217010,-1194.641846,471.112030,-417.794708,-1328.207886,311.891449,-445.558502,-1389.978394,174.767044,-416.941742,-1446.909424,176.897064,-420.550018,-1231.337402,46.296635,73.982742,-1235.912231,631.867798,36.650795,-1216.319580,451.875580,1.175602,-1263.413696,264.336151,-44.800297,-1291.052002,97.633430,-106.103706,-1334.600220,85.561447,-41.477432,-1080.303101,63.304314
61,0,-135.240784,-1026.712280,855.050659,50.711670,-1127.794922,859.164917,-237.880615,-1230.935303,938.119385,-104.955170,-1317.085205,942.069763,-275.693054,-1094.629272,651.189636,-339.195038,-1188.408569,469.571838,-416.821930,-1324.463257,312.082428,-445.091492,-1388.245483,176.221191,-416.500366,-1445.107666,179.038040,-420.629669,-1231.104492,45.570831,75.299065,-1233.420898,631.168884,37.659042,-1214.466064,451.048920,1.826716,-1262.480347,263.802856,-44.665977,-1290.989868,97.435898,-106.097420,-1334.531006,85.505325,-41.514450,-1080.376099,63.356815
62,0,-135.780670,-1026.486450,855.968262,51.149235,-1125.688599,858.912903,-236.761841,-1231.898804,936.672729,-103.007103,-1316.717163,940.987061,-275.102631,-1091.051514,651.002258,-338.012604,-1181.623779,468.062012,-415.612671,-1320.272827,312.457397,-444.367737,-1386.160278,177.982285,-415.768799,-1442.911133,181.591415,-420.661041,-1230.717529,44.715519,76.626221,-1230.843872,630.484131,38.665833,-1212.547241,450.236053,2.490582,-1261.486084,263.285400,-44.526539,-1290.907837,97.263985,-106.084465,-1334.454468,85.443535,-41.553547,-1080.432007,63.395454
63,0,-136.342712,-1026.231323,857.007019,51.565758,-1123.513306,858.691711,-235.637085,-1232.877441,935.177246,-101.040680,-1316.323120,939.886475,-274.457855,-1087.211060,650.914124,-336.663300,-1174.302246,466.611877,-414.145660,-1315.629761,313.029602,-443.354065,-1383.697876,180.056641,-414.704132,-1440.292358,184.554489,-420.620972,-1230.131348,43.764992,77.953690,-1228.196411,629.816223,39.661903,-1210.578369,449.440033,3.159460,-1260.440430,262.786621,-44.383728,-1290.807739,97.116547,-106.062798,-1334.376831,85.381302,-41.594364,-1080.470581,63.419975
64,0,-136.924271,-1025.946167,858.167358,51.958656,-1121.276245,858.501892,-234.513107,-1233.863647,933.639771,-99.067070,-1315.901245,938.772461,-273.758575,-1083.118774,650.940796,-335.142212,-1166.465088,465.252106,-412.401886,-1310.531250,313.808746,-442.019531,-1380.834961,182.442947,-413.266266,-1437.227417,187.912674,-420.483765,-1229.293091,42.767727,79.270874,-1225.493286,629.168152,40.638306,-1208.575439,448.663483,3.825644,-1259.354736,262.309052,-44.239014,-1290.692139,96.992233,-106.030800,-1334.303711,85.324059,-41.636387,-1080.492188,63.430756
65,0,-137.522079,-1025.630493,859.448059,52.325882,-1118.984009,858.343506,-233.396408,-1234.847900,932.067749,-97.097237,-1315.448730,937.649353,-273.004944,-1078.788086,651.097107,-333.446106,-1158.139404,464.014008,-410.365417,-1304.978882,314.800293,-440.336639,-1377.550659,185.131638,-411.419403,-1433.696533,191.639221,-420.221680,-1228.144043,41.784988,80.567337,-1222.750366,628.542297,41.586636,-1206.554565,447.908752,4.481682,-1258.239624,261.855042,-44.093639,-1290.563477,96.889549,-105.987358,-1334.240723,85.276627,-41.678955,-1080.498047,63.428684
66,0,-138.132523,-1025.283081,860.846497,52.665909,-1116.642700,858.216003,-232.293015,-1235.820679,930.469482,-95.141739,-1314.962769,936.522095,-272.197418,-1074.234497,651.398193,-331.573639,-1149.357422,462.928802,-408.024109,-1298.977783,316.005005,-438.282227,-1373.826050,188.104630,-409.133270,-1429.684204,195.695328,-419.806335,-1226.619873,40.888157,81.833008,-1219.982056,627.940857,42.499172,-1204.530884,447.178070,5.120584,-1257.106689,261.426758,-43.948551,-1290.424316,96.806953,-105.932007,-1334.190552,85.242783,-41.721249,-1080.490234,63.415096
